Text,Sentiment,ProdID
AirtelUg am still having trouble using Cloudflare as my private DNS through your network Please resolve  ,Negative,41
africellUG Thanks so much  ,Positive,71
AirtelUg Ure slowly becoming my favourite keep t up  ,Positive,87
digitaldidan Oke  lets not discredit AirtelUg has a nice internet May be you are still on GB  ,Positive,78
mtnug I cant buy data via mobile money Wsup  ,Negative,83
I can confirm that the AirtelUg G network works  via oleebranch  ,Positive,28
Thank you mtnug for this It will boost my business and my fellow many  who use MTN  in our daily transactions We say Thank you again for not only offering good services but also developing our telecommunications industry Long live MTN  ,Positive,87
africellUG out here selling data at tomato prices thank u so much guys u understand the struggle  ,Positive,46
andsjeff I only tapped G in kampala city centre via AirtelUg Currently in mbale but havent tapped it again  ,Negative,52
AirtelUg my internet is down since Saturday morning today called but wasnt helped  ,Negative,90
But mtnug u are unfair u give us a bonus and then slow your internet  pout   ,Negative,27
kophelia AirtelUg I feel you babe though their nternet needs patience  ,Negative,39
I want to sue mtnug for eating my mbz at unreasonable rate perhaps am the only one facing this  ,Negative,92
Morning mtnug Am working from Park Royal Mall Near Watoto Church In  Kampala we are suffering wit ur Network in the mall yet we are many using MTN in side How can you help us  Plz  ,Negative,46
gadrogers mtnug Real deal  clap   ,Positive,47
africellUG steve theres a number that the calls are diverted to when u activate them Its that number I want where when unreachable calls are diverted If u dont know ask around and get back to me  ,Negative,86
From North to the East to the West to the South all around Central G LTE Thank you AirtelUg for making business possible across the nation  ,Positive,1
mtnug internet in  is BOGUS but    ,Negative,8
But AirtelUg  You must have mistaken me to be that High profile person  Maybe a son to Mutebire sweat  tiredface  Because the way your chopping my data one may think I committed a crime Using It smirk  rolleyes Omuntu wa waasi alabye raisedhands  relieved   ,Negative,6
mtnug what happened  days running no access thinking   ,Negative,6
africellUG is d best vpn swiftbundle  ,Positive,98
mtnug I never knew that to confirm my registration details I have to pay money I went and one of youre agents asked me for   ,Negative,23
mtnug Hello Slow network in Namugongo What could be the problemno LTE at all  ,Negative,90
africellUG at least u giving me a genuine reason for owning an africellUG simcard  ,Positive,71
People mtnug kindly rectify the errors in your systems if at all youre not torturing users U buy data and in no minute its finished Network is a problem even in Kampala Eeeeeee  ,Negative,85
Dear AirtelUg  why is it that whenever it reaches pm your internet becomes so disgusting  ,Negative,48
africellUG  My simcard cant be my mifi anymore  Whats the problem  ,Negative,66
mtnug Im not happy  I paid for ott of a month you gave  me a week and disconnected me now your data is off UCCED help angry   ,Negative,49
mtnugcare Just loaded data but your internet is now almost sucking like that of AirtelUg  ,Negative,41
mtnug your internet connection is must so sick these days and you just left with notifying us how we have used  of our data after  minutes I can now relate to airtel advert of yellow bananas  ,Negative,37
mtnug Uhmmmm yesterday I came some of ur workers  told me to go back and get  police letter an went home mad at u coz I used my ka transport to come in town at shopright  ,Negative,30
AirtelUg Mbu G network  Nio nio it takes a full hour to load a page So sad  ,Negative,60
mtnug is it general problem with the system or am the only affected entity none of my Mtn cards able to make calls or even check balance Please advise  ,Negative,19
Naye mtnug  ur network  internet connectivity is less than shyiiiiit tself  ,Negative,76
